Cognomi,Numero
FERRARA,29
MANTOVANO,29
MARCHESE,29
MBAYE,29
MURRONE,29
RUGGIERI,29
SACCO,29
SACQUEGNA,29
SALVATORE,29
SELLERI,29
SICURO,29
TINELLI,29
VAGLIO,29
ACCOGLI,28
ANTONAZZO,28
BAJRA,28
BALZANI,28
BASSO,28
CAPASA,28
CISTERNINO,28
CORONA,28
DE CILLIS,28
FELLINE,28
GIANGRECO,28
GUALTIERI,28
GUEYE,28
LECCI,28
LETIZIA,28
PANAREO,28
PARENTE,28
PIGNATELLI,28
PRISCO,28
RIA,28
RINALDI,28
ROSAFIO,28
SCIURTI,28
VINCIGUERRA,28
ZAMBRINI,28
CHIARELLI,27
CUDAZZO,27
DE ANGELIS,27
DE FILIPPO,27
DEL MASTRO,27
DELLA MONACA,27
ERROI,27
LOIACONO,27
MARULLI,27
MICALELLA,27
PERSICO,27
PICCIOLO,27
POVERO,27
SCHIFA,27
SCORDARI,27
SORRENTO,27
STANCA,27
STEFANO,27
TODISCO,27
TROFO,27
VERGARA,27
VOLPE,27
ARSENI,26
ATIENZA,26
CASSANO,26
D'AGOSTINIS,26
DANIELE,26
DE CANALE,26
DI TONDO,26
FAVALE,26
FERRARO,26
FORTE,26
FREULI,26
GABALLO,26
KUMAR,26
LANZILAO,26
LEFONS,26
LEVA,26
MORTARI,26
NAPOLI,26
PEDE,26
PROVENZANO,26
PUTIGNANO,26
RICCI,26
SANITA',26
SENE,26
SPADA,26
ANDRIANI,25
BRANCA,25
CAIAFFA,25
CORLIANO',25
D'ANDREA,25
DE SIENA,25
DEGLI ATTI,25
FAYE,25
FERILLI,25
FUSCO,25
GAGLIARDI,25
GERMINAL,25
GIANNINI,25
MADONNA,25
MININANNI,25
MITA,25
PASCARIELLO,25
PASTORELLI,25
PETRAROLI,25
PETRUZZI,25
PRIMICERI,25
RUTIGLIANO,25
SABETTA,25
SALAMINA,25
SALES,25
SCHIAVONE,25
STAMPETE,25
SURANO,25
UNGARO,25
VALERIO,25
VENTURI,25
VERRIENTI,25
ALBANO,24
CALVANI,24
CURTO,24
DE CASTRO,24
DE IACO,24
DE LORENZO,24
DE NUNZIO,24
DE RICCARDIS,24
DONGIOVANNI,24
FILIERI,24
FIOCCA,24
GABRIELI,24
GHEZZI,24
GNONI,24
GUIDOTTI,24
LEUCI,24
LIUZZI,24
MALECORE,24
MASELLI,24
PESCHIULLI,24
PETRARCA,24
PIERRI,24
PISANELLI,24
SURRENTE,24
ZACCARIA,24
ZAMPINO,24
ALBA,23
ARCUTI,23
ARNO',23
BAGLIVO,23
BLANCO,23
BRUNETTI,23
BUCCARELLA,23
CALORO,23
CAPORALE,23
COCCIOLO,23
COFANO,23
COLIZZI,23
CRISCOLO,23
DE BELLIS,23
DONATEO,23
FONTANA,23
FORESIO,23
FUMAROLA,23
FUSARO,23
GUERRA,23
MAGGI,23
MALAZZINI,23
MANZO,23
MOCKA,23
MONITTOLA,23
PASQUINO,23
PECICCIA,23
PEDACI,23
RICERCATO,23
RIZZELLI,23
SIMINI,23
TOSCANO,23
VERNALEONE,23
ZINGARELLO,23
ALVINO,22
ANASTASIA,22
ANTONELLI,22
ARSIENI,22
BENEDETTO,22
CALIGNANO,22
CALOSSO,22
CARROZZINI,22
CERFEDA,22
CERVELLI,22
CIRILLO,22
COLAZZO,22
D'ARPE,22
DELLA GIORGIA,22
DISTANTE,22
FIRENZE,22
GALA,22
LICASTRO,22
LIN,22
LORUSSO,22
MACRI',22
MASSA,22
NAPOLITANO,22
PALMISANO,22
PAREO,22
PASQUALINI,22
POLO,22
RAGANATO,22
RE,22
RUBERTI,22
SCARFONE,22
SCARLINO,22
SECK,22
TORTORELLI,22
TROVE',22
VALZANO,22
ATTANASI,21
BARLETTA,21
BOTRUGNO,21
BRESCIA,21
CAFORIO,21
CARETTO,21
CAVALERA,21
CEINO,21
COPPINI,21
CORSI,21
DE PALMA,21
DI LECCE,21
FANALES,21
GARZIA,21
GILIBERTI,21
GUAGNANO,21
INDIRLI,21
MARCUCCI,21
MARITATI,21
MURCIANO,21
MUSIO,21
NICOLACI,21
NOSI,21
NUZZONE,21
PETRUCELLI,21
POSITANO,21
POTENTE,21
RIPA,21
SANGUEDOLCE,21
SAVOIA,21
SPALLUTO,21
TOSKIC,21
ALFARANO,20
AVANTAGGIATO,20
BRANDI,20
BUCCARELLO,20
CATANIA,20
CHIRIVI',20
CIRCHETTA,20
COIA,20
D'AUTILIA,20
DE DOMINICIS,20
FAIULO,20
GALLUCCIO,20
GRAZIUSO,20
GREGORIADIS,20
IURLANO,20
KRASNICI,20
LIBERTI,20
LIPPOLIS,20
LOMBARDO,20
MAGURANO,20
MANIGLIO,20
MARAGLIULO,20
MARCHETTI,20
MATTEI,20
MILANESE,20
MONTE,20
NEMOLA,20
NOBILE,20
PECCARISI,20
PERLANGELI,20
PICCINONNO,20
PICCIRILLO,20
PISACANE,20
PISCOPIELLO,20
PITASSI,20
PUGLIELLI,20
REHO,20
RICCIARDI,20
SALOMI,20
SAMMARCO,20
SANTESE,20
SCOZZI,20
SPORTELLA,20
STANGA,20
STEFANACHI,20
TRIPOLI,20
TRONCI,20
VIOLA,20
ABBRUZZESE,19
AGUGLIA,19
BACCA,19
BARROTTA,19
BIASCO,19
BIZZARRO,19
CAIRO,19
CAROLI,19
CASSIANO,19
CASTELLANO,19
CIMINO,19
CORIANO',19
CUPPONE,19
D'ALESSANDRO,19
DEL VESCOVO,19
DIOUM,19
FABRIZIO,19
FLORIDO,19
FORTUNATO,19
FRANZA,19
GALIULO,19
GIOSA,19
GIUSTO,19
HOXHA,19
LAGNA,19
LATTANTE,19
LIGORIO,19
MADDALENA,19
MARROCCO,19
MAZZA,19
MELICA,19
MEMMO,19
MONOSI,19
PAGLIALONGA,19
PALAMA',19
PIZZOLANTE,19
PONZETTA,19
ROMA,19
SCARANO,19
SECLI',19
SERRONE,19
STEFANAZZI,19
STICCHI,19
VERARDO,19
VILLANOVA,19
ZHANG,19
ZITO,19
ALTAMURA,18
ARMENISE,18
BALDARI,18
BELFIORE,18
BELLANOVA,18
BUIA,18
BUONATESTA,18
CAPPELLI,18
CARAMUSCIO,18
CAZZATELLO,18
CHETTA,18
CHIARELLO,18
CORINA,18
CURSANO,18
ENZA,18
FANGHELLA,18
